Source,Target,Weight
Proteus_TGV,Speed_TGV,3
Proteus_TGV,Valentine_TGV,4
Speed_TGV,Valentine_TGV,5
Julia_TGV,Lucetta_TGV,2
Antonio_TGV,Pantino_TGV,1
Antonio_TGV,Proteus_TGV,1
Pantino_TGV,Proteus_TGV,2
Speed_TGV,Sylvia_TGV,2
Sylvia_TGV,Valentine_TGV,3
Julia_TGV,Pantino_TGV,1
Julia_TGV,Proteus_TGV,5
Lance_TGV,Pantino_TGV,1
Duke_TGV,Proteus_TGV,5
Duke_TGV,SERVANTS.1_TGV,1
Duke_TGV,Speed_TGV,2
Duke_TGV,Sylvia_TGV,2
Duke_TGV,Thurio_TGV,4
Duke_TGV,Valentine_TGV,3
Proteus_TGV,SERVANTS.1_TGV,1
Proteus_TGV,Sylvia_TGV,4
Proteus_TGV,Thurio_TGV,5
SERVANTS.1_TGV,Speed_TGV,1
SERVANTS.1_TGV,Sylvia_TGV,1
SERVANTS.1_TGV,Thurio_TGV,1
SERVANTS.1_TGV,Valentine_TGV,1
Speed_TGV,Thurio_TGV,1
Sylvia_TGV,Thurio_TGV,3
Thurio_TGV,Valentine_TGV,2
Lance_TGV,Speed_TGV,2
Duke_TGV,Lance_TGV,1
Lance_TGV,Proteus_TGV,2
Lance_TGV,Valentine_TGV,1
OUTLAWS.1_TGV,OUTLAWS.2_TGV,2
OUTLAWS.1_TGV,OUTLAWS.3_TGV,2
OUTLAWS.1_TGV,Speed_TGV,1
OUTLAWS.1_TGV,Valentine_TGV,1
OUTLAWS.2_TGV,OUTLAWS.3_TGV,2
OUTLAWS.2_TGV,Speed_TGV,1
OUTLAWS.2_TGV,Valentine_TGV,1
OUTLAWS.3_TGV,Speed_TGV,1
OUTLAWS.3_TGV,Valentine_TGV,1
Host_TGV,Julia_TGV,1
Host_TGV,Proteus_TGV,1
Host_TGV,Sylvia_TGV,1
Host_TGV,Thurio_TGV,1
Julia_TGV,Sylvia_TGV,3
Julia_TGV,Thurio_TGV,3
Eglamour_TGV,Sylvia_TGV,2
Julia_TGV,Lance_TGV,1
Lance_TGV,Sylvia_TGV,1
Duke_TGV,Julia_TGV,2
OUTLAWS.1_TGV,Sylvia_TGV,1
OUTLAWS.2_TGV,Sylvia_TGV,1
OUTLAWS.3_TGV,Sylvia_TGV,1
Duke_TGV,OUTLAWS.1_TGV OUTLAWS.2_TGV OUTLAWS.3_TGV,1
Julia_TGV,OUTLAWS.1_TGV OUTLAWS.2_TGV OUTLAWS.3_TGV,1
Julia_TGV,Valentine_TGV,1
OUTLAWS.1_TGV OUTLAWS.2_TGV OUTLAWS.3_TGV,Proteus_TGV,1
OUTLAWS.1_TGV OUTLAWS.2_TGV OUTLAWS.3_TGV,Sylvia_TGV,1
OUTLAWS.1_TGV OUTLAWS.2_TGV OUTLAWS.3_TGV,Thurio_TGV,1
OUTLAWS.1_TGV OUTLAWS.2_TGV OUTLAWS.3_TGV,Valentine_TGV,1
